#{"t_start": 1766304136.6743689, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-90.742942,102,9775.925292
-69.618607,209,9796.561708
-68.829069,204,9815.338401
-81.28112,2000,10008.006308
-41.061812,352,10040.856416
-80.34334,161,10055.958356
-91.254952,157,10071.079753
-19.771149,506,10120.326126
-67.589291,316,10150.753477
-88.075877,127,10163.196276
-73.895136,219,10183.637749
-83.691494,117,10195.195441
-97.037073,171,10211.585641
-76.965881,182,10228.442763
-105.638947,259,10253.573749
-97.255904,214,10274.253456
-71.936542,207,10293.872689
-43.761031,374,10329.947788
-44.584032,395,10367.320754
-93.460939,198,10386.348241
-106.027001,483,10432.725594
-70.73958,351,10465.841967
-72.228241,2000,10659.496249
25.344603,2000,10853.580404
-17.17762,2000,11042.9355
-79.301914,200,11062.043453
-78.111584,527,11112.062552
-116.183894,460,11155.555743
-65.619917,306,11184.736401
-65.060648,2000,11375.874369
-130.21928,2000,11565.755704
-86.077244,147,11579.96432
-64.831777,372,11616.164157
-62.085247,466,11660.971446
-64.193738,803,11738.417084
-80.280849,138,11751.515931
-68.301064,2000,11944.183358
-96.659407,255,11969.475167
-116.907292,2000,12156.548852
-65.318964,471,12201.411074
31.601858,657,12261.696938
-87.033947,159,12276.405917
-52.827556,240,12299.206166
-63.145295,2000,12483.676116
-79.798644,135,12496.376653
-69.577943,250,12519.95697
14.489558,515,12566.367484
-50.151272,284,12592.451515
-68.885989,192,12610.087022
-61.466707,2000,12794.851123
-94.179847,172,12811.545149
-77.266006,485,12856.973639
-90.230785,149,12870.958317
-86.165703,136,12883.667521
-85.742914,140,12896.735922
-59.128958,2000,13082.54721
-39.40204,365,13117.705621
-103.649306,263,13141.952594
-67.287156,157,13157.443791
-71.693696,2000,13344.263784
-59.953263,368,13378.837121
-152.858534,839,13456.154265
-91.901764,150,13470.013173
-61.304498,254,13493.8268
-78.465145,135,13506.314085
-123.892335,275,13531.86511
-80.187912,122,13542.630655
-34.196894,2000,13733.883225
-34.36075,428,13775.532191
-159.782996,829,13856.415534
-1.262978,798,13933.189611
81.574917,2000,14129.133559
-47.336847,387,14166.381541
-79.71248,140,14179.831939
